No.,Sec.,ALL-L,ALL-R,25-L,25-R,31.5-L,31.5-R,40-L,40-R,50-L,50-R,63-L,63-R,80-L,80-R,100-L,100-R,125-L,125-R,160-L,160-R,200-L,200-R,250-L,250-R,315-L,315-R,400-L,400-R,500-L,500-R,630-L,630-R,800-L,800-R,1k-L,1k-R,1.25k-L,1.25k-R,1.6k-L,1.6k-R,2k-L,2k-R,2.5k-L,2.5k-R,3.15k-L,3.15k-R,4k-L,4k-R,5k-L,5k-R,6.3k-L,6.3k-R,8k-L,8k-R,10k-L,10k-R,12.5k-L,12.5k-R,16k-L,16k-R,20k-L,20k-R,25k-L,25k-R
1,1825,74.86,73.95,0.23,2.81,11.55,14.47,17.86,20.24,24.17,26.01,19.47,20.81,17.48,19.75,37.38,37.80,53.89,54.83,39.69,39.52,52.74,51.52,71.63,69.63,64.76,63.69,69.09,68.25,57.58,59.29,54.07,55.57,63.05,63.98,58.83,59.48,55.33,57.68,49.94,52.60,44.05,48.42,48.20,54.92,49.80,52.54,41.88,43.46,35.66,35.14,34.77,33.11,34.50,33.25,34.49,32.98,33.90,32.43,32.74,31.43,31.57,30.18,29.87,28.72
2,1826,60.04,60.24,2.42,4.11,14.60,15.91,20.85,21.92,27.09,27.93,22.53,23.19,13.50,14.57,27.97,25.48,36.62,37.52,34.63,34.44,41.36,40.41,53.94,51.94,49.00,47.77,51.72,50.96,47.05,47.75,48.81,50.51,53.11,54.33,48.47,49.20,47.70,49.82,36.01,38.12,32.43,34.07,36.79,42.27,41.34,43.49,36.33,36.84,34.37,33.18,34.51,32.97,34.71,33.31,34.10,33.06,33.61,32.26,32.88,31.32,31.52,30.21,29.42,29.16
3,1827,68.25,68.70,2.06,4.04,12.38,13.49,18.63,19.46,24.87,25.43,20.92,21.34,23.56,25.50,37.66,39.49,42.57,43.27,49.75,49.50,55.65,54.67,52.27,50.42,61.53,60.03,60.51,60.92,53.50,53.60,56.35,59.03,61.47,62.35,60.14,60.92,55.54,57.45,39.32,41.78,34.54,38.24,37.89,43.29,41.94,44.31,40.63,42.08,35.21,34.70,34.30,33.14,34.63,33.30,34.40,32.93,33.48,32.34,32.73,31.40,31.42,30.09,29.37,28.49
4,1828,72.47,72.94,-0.11,2.04,10.58,12.79,16.82,18.85,23.06,24.91,18.85,20.11,26.87,28.85,36.93,38.47,46.66,47.09,50.82,50.46,55.63,54.76,64.24,62.57,64.78,63.33,63.20,63.95,63.10,64.24,64.80,65.23,63.74,65.15,58.29,59.01,55.23,57.84,57.89,60.72,44.27,48.87,51.04,57.45,51.88,54.68,44.70,46.71,36.25,35.64,34.69,33.10,34.67,33.37,34.23,32.93,33.71,32.23,32.57,31.33,31.61,30.06,29.84,28.32
5,1829,72.45,72.22,0.74,2.62,14.26,15.59,20.76,21.90,27.27,28.21,22.47,23.36,24.14,25.34,36.43,37.81,52.09,52.79,53.75,53.45,57.22,56.22,69.25,67.31,62.71,61.48,64.77,64.15,55.58,57.49,49.10,49.43,48.57,49.84,46.06,46.82,41.13,43.29,43.29,45.75,53.13,57.94,51.19,57.85,63.64,66.26,46.63,48.95,39.91,40.67,34.81,33.08,34.56,33.45,34.35,33.12,33.73,32.36,32.65,31.49,31.44,30.17,29.74,28.57
6,1830,74.22,75.07,2.22,4.45,12.94,15.24,18.95,20.70,24.96,26.15,20.09,20.86,19.86,21.68,39.31,40.86,47.78,48.96,41.21,40.84,58.34,57.20,66.08,64.30,55.69,54.36,56.10,56.01,59.29,60.42,63.91,65.08,70.40,71.57,65.79,66.54,61.35,63.37,56.34,59.16,50.46,54.54,50.53,57.15,55.01,57.77,51.82,53.98,39.05,39.79,34.43,33.19,34.55,33.15,34.24,32.93,33.81,32.21,32.68,31.18,31.47,30.22,29.43,28.79
7,1831,72.06,72.29,-0.73,1.40,11.78,13.97,17.98,19.93,24.17,25.89,19.92,21.40,21.65,23.37,35.32,35.73,48.70,49.57,46.12,45.86,53.85,52.81,66.07,64.09,61.18,59.86,63.90,63.15,58.19,59.11,61.01,62.64,65.39,66.64,60.63,61.33,59.56,61.72,47.27,49.94,40.23,44.35,47.46,54.04,52.77,55.34,44.84,46.79,36.42,36.28,34.54,33.23,34.79,33.04,34.54,33.09,33.99,32.37,32.82,31.34,31.53,29.88,29.47,28.77
8,1832,66.99,68.28,2.93,4.94,14.33,15.53,20.60,21.55,26.86,27.56,22.44,22.96,12.97,15.11,26.42,25.37,39.93,40.98,31.89,32.08,37.55,36.50,54.24,52.43,45.59,44.28,53.47,52.98,56.06,57.30,55.16,57.83,63.89,65.30,57.32,58.30,57.58,59.35,38.55,40.96,33.57,36.77,37.45,43.33,46.79,49.36,46.33,46.67,40.08,40.66,34.54,33.34,34.52,33.27,34.37,32.99,33.74,32.25,32.84,31.50,31.50,30.18,29.68,28.77
9,1833,62.67,63.09,-1.10,1.36,11.24,12.59,17.41,18.54,23.57,24.48,18.98,19.59,18.60,19.78,33.39,33.47,37.01,37.70,43.46,43.22,50.00,48.99,46.65,44.87,55.95,54.47,54.93,55.26,47.59,47.66,50.63,53.33,55.91,56.80,54.45,55.25,49.79,51.72,34.92,37.03,32.11,33.81,34.58,38.40,37.59,39.15,37.09,37.52,34.52,33.69,34.51,33.28,34.80,33.21,34.09,32.92,33.65,32.31,32.77,31.42,31.36,30.10,29.35,28.91
10,1834,67.47,68.01,1.53,3.58,13.69,14.88,20.19,21.23,26.69,27.58,22.67,23.32,22.19,24.41,33.86,33.46,41.95,42.41,46.19,45.93,50.64,49.79,59.38,57.71,59.82,58.35,57.91,58.67,58.55,59.50,59.08,59.92,59.19,60.64,53.19,53.94,50.26,52.89,52.81,55.65,39.57,43.85,46.33,52.65,47.17,49.87,40.52,42.06,34.88,33.91,34.70,33.18,34.48,33.21,34.36,32.71,33.75,32.22,32.69,31.19,31.54,30.06,29.55,28.61
11,1835,66.84,66.62,2.51,4.84,13.83,14.83,20.29,21.10,26.74,27.37,22.33,22.98,21.02,21.64,32.71,33.20,46.92,47.62,49.84,49.52,52.79,51.78,63.55,61.61,56.87,55.60,59.13,58.63,49.34,51.18,42.79,43.44,43.19,44.43,40.64,41.44,36.15,37.93,37.86,40.28,47.42,52.19,45.75,52.32,57.99,60.61,41.72,43.83,36.51,36.57,34.65,33.22,34.67,33.21,34.45,33.08,33.52,32.52,32.59,31.16,31.38,29.93,29.64,28.77
12,1836,69.56,70.40,0.36,2.41,9.44,10.69,15.92,16.84,22.40,23.00,18.23,18.99,22.48,24.88,35.50,36.86,42.98,44.14,43.92,43.46,53.72,52.65,61.46,59.66,51.92,50.64,51.23,51.11,54.00,55.34,58.80,60.14,65.87,67.02,61.07,61.84,56.31,58.31,51.81,54.58,45.86,49.88,45.40,52.02,50.25,53.00,47.29,49.31,36.59,36.61,34.66,33.05,34.73,32.91,34.39,32.88,33.70,32.25,32.68,31.35,31.45,30.10,29.61,28.84
13,1837,66.44,66.66,1.89,3.54,14.06,15.22,20.51,21.30,26.96,27.39,22.50,22.89,17.44,18.75,30.76,31.07,43.04,43.93,41.36,41.03,48.06,47.06,60.35,58.37,56.21,54.96,57.83,57.10,53.09,53.78,55.35,56.92,59.66,60.88,55.25,55.96,54.08,56.26,41.38,44.05,35.78,39.23,42.25,48.50,47.16,49.68,39.94,41.60,35.27,34.06,34.47,33.40,34.76,32.88,34.12,33.02,33.65,32.26,32.90,31.32,31.38,30.24,29.35,28.80
14,1838,71.37,72.60,-0.01,2.11,12.76,14.42,19.36,20.67,25.95,26.91,21.51,22.08,14.02,13.37,27.36,27.72,45.49,46.32,36.11,36.19,38.44,37.38,55.43,53.38,44.87,43.34,52.89,52.87,58.94,59.10,62.52,65.28,67.37,68.29,65.41,66.22,61.38,63.33,44.35,46.93,35.46,38.45,42.24,48.37,47.08,49.74,46.17,48.08,37.89,38.22,34.32,33.41,34.69,33.64,34.03,33.15,33.68,32.41,32.63,31.48,31.46,30.00,29.82,28.36
15,1839,74.85,74.11,-0.47,0.66,11.02,13.45,17.26,19.38,23.50,25.30,19.14,20.32,15.44,16.37,29.77,28.80,50.62,50.80,49.50,49.60,45.48,44.50,70.09,68.47,70.50,69.02,66.96,67.97,50.83,50.76,63.43,62.39,61.34,62.95,50.80,51.71,44.60,46.51,33.33,35.34,32.67,33.67,36.57,41.99,49.53,52.14,37.05,37.13,35.17,33.81,34.45,33.45,34.88,33.28,34.25,32.89,33.85,32.42,32.71,31.12,31.56,29.95,29.29,28.38
16,1840,75.07,74.71,1.38,3.10,13.57,14.05,19.93,20.41,26.29,26.77,21.83,22.24,20.08,21.02,39.84,40.74,51.59,52.67,42.54,42.27,54.95,53.50,72.49,70.67,66.96,65.76,64.68,63.79,57.48,59.30,54.38,54.81,53.92,55.24,49.83,50.70,45.89,48.26,48.44,51.14,54.70,59.46,52.84,59.55,66.09,68.78,48.81,50.57,43.76,44.84,35.12,33.51,34.82,33.41,34.37,33.28,33.55,32.35,32.90,31.55,31.54,30.01,29.43,28.80
17,1841,78.68,79.89,3.08,5.48,13.38,14.74,19.64,20.64,25.90,26.54,21.40,21.72,22.59,25.27,40.97,42.65,43.89,44.73,45.68,45.41,60.12,59.10,59.54,57.72,59.92,58.47,58.18,58.66,62.77,63.43,66.34,68.51,76.06,77.29,72.12,72.91,67.66,69.55,51.78,54.86,47.23,51.69,51.75,58.64,57.49,60.10,47.51,49.45,42.48,43.31,34.88,33.20,34.70,33.07,34.35,33.05,33.86,32.49,32.69,31.50,31.53,30.16,29.43,28.25
18,1842,74.14,73.23,-0.48,1.84,11.27,12.34,17.46,18.51,23.66,24.69,19.08,20.13,19.23,20.87,36.99,38.04,54.48,55.41,40.45,40.35,50.38,49.12,71.87,69.87,56.97,55.81,66.69,66.06,57.98,59.65,54.23,55.98,63.74,64.68,59.52,60.10,53.98,56.25,50.67,53.28,43.68,47.94,42.83,49.14,48.78,51.49,42.16,43.89,35.68,34.90,34.46,33.22,34.51,33.06,34.07,33.12,33.69,32.33,32.63,31.47,31.47,30.19,29.73,28.56
