No.,Sec.,ALL-L,ALL-R,25-L,25-R,31.5-L,31.5-R,40-L,40-R,50-L,50-R,63-L,63-R,80-L,80-R,100-L,100-R,125-L,125-R,160-L,160-R,200-L,200-R,250-L,250-R,315-L,315-R,400-L,400-R,500-L,500-R,630-L,630-R,800-L,800-R,1k-L,1k-R,1.25k-L,1.25k-R,1.6k-L,1.6k-R,2k-L,2k-R,2.5k-L,2.5k-R,3.15k-L,3.15k-R,4k-L,4k-R,5k-L,5k-R,6.3k-L,6.3k-R,8k-L,8k-R,10k-L,10k-R,12.5k-L,12.5k-R,16k-L,16k-R,20k-L,20k-R,25k-L,25k-R
1,282,46.64,46.92,0.36,1.78,16.14,17.63,22.51,23.83,28.87,30.03,25.75,26.79,13.70,15.73,25.27,20.11,16.73,15.97,16.88,18.55,22.43,24.67,24.75,23.95,23.86,26.97,24.42,22.92,26.30,24.95,30.97,32.60,31.52,33.16,37.70,38.73,36.08,37.65,35.65,38.24,30.99,30.90,31.93,32.96,33.43,33.04,35.80,35.45,35.50,34.34,34.71,33.31,34.51,33.20,34.18,32.77,33.73,32.47,32.74,31.20,31.53,30.06,29.47,28.71
2,283,57.67,59.57,-1.99,-0.56,11.54,12.65,18.06,18.82,24.57,25.00,20.93,21.01,13.07,13.27,24.60,20.56,17.02,15.92,18.16,20.82,21.39,25.37,23.02,22.96,25.76,26.98,25.70,25.11,25.37,25.76,25.13,26.02,27.58,27.72,30.68,30.24,30.98,31.68,30.51,30.68,30.63,30.86,31.74,31.51,34.57,35.29,57.22,59.28,42.75,43.35,37.69,35.43,38.54,37.63,35.36,34.38,33.77,33.02,32.82,31.44,31.32,30.29,29.65,29.46
3,284,47.06,47.25,-3.11,-0.75,12.27,13.16,18.87,19.61,25.48,26.06,21.37,21.94,11.39,14.27,24.31,21.01,15.98,16.04,17.47,19.72,21.36,25.91,23.82,24.19,25.78,28.15,25.92,26.00,25.34,25.79,25.39,26.06,27.02,27.46,29.06,28.36,29.10,28.44,30.30,29.22,30.60,30.64,32.33,33.57,33.31,33.09,41.89,43.14,39.18,39.46,35.76,34.09,35.46,34.35,34.65,33.33,33.69,32.39,32.61,31.31,31.62,30.35,29.63,29.50
4,285,44.96,43.89,-0.13,2.00,14.97,16.16,21.48,22.45,27.98,28.74,23.90,24.74,13.73,15.00,25.17,19.61,16.47,14.43,17.70,18.65,20.26,25.35,22.81,22.95,23.74,26.02,23.05,19.55,24.03,22.14,24.98,24.50,26.96,26.67,29.57,29.31,28.52,27.18,30.99,29.61,30.83,29.58,32.16,30.56,32.44,31.75,34.97,34.17,34.50,33.58,34.72,33.06,34.67,33.01,34.24,33.11,33.91,32.46,32.83,31.00,31.42,30.04,29.57,28.77
5,286,46.25,45.92,-0.33,1.85,14.49,15.89,20.46,21.55,26.43,27.20,22.06,22.51,13.64,14.87,24.42,22.81,16.25,15.07,17.35,18.46,20.54,24.28,25.19,25.26,23.87,26.05,26.20,25.64,27.84,29.01,28.41,28.80,30.87,31.24,32.18,32.22,29.95,30.29,30.29,29.81,31.00,30.47,32.29,32.14,33.81,33.20,39.12,38.72,37.69,38.40,34.72,33.31,34.56,33.49,34.34,33.03,33.62,32.37,32.60,31.48,31.54,30.02,29.40,29.26
6,287,45.83,45.61,-0.75,0.63,12.13,12.00,18.44,18.43,24.74,24.85,20.77,20.81,12.11,12.71,25.36,20.30,16.78,16.42,19.11,20.29,21.13,24.10,23.78,23.20,23.95,27.45,24.20,23.63,25.31,23.90,29.69,30.39,30.78,31.64,35.22,35.67,34.39,35.74,34.11,36.06,31.41,30.36,31.78,31.49,32.97,32.38,35.22,34.54,34.79,33.91,34.43,33.42,34.74,33.23,34.03,33.03,33.63,32.36,32.57,31.28,31.60,30.06,29.51,29.09
7,288,54.37,56.19,2.19,4.49,13.77,15.17,20.24,21.38,26.71,27.59,22.90,23.63,12.95,14.62,25.43,20.24,15.88,15.40,19.45,20.66,22.13,25.21,22.22,22.45,23.54,26.56,24.47,23.31,24.30,24.42,25.49,25.34,27.06,25.89,28.52,28.64,29.80,30.12,31.04,29.40,31.22,30.37,31.95,30.85,33.77,34.06,53.63,55.75,40.54,41.05,36.33,34.55,37.01,35.90,34.91,33.89,34.06,32.37,32.83,31.38,31.43,30.08,29.43,29.23
8,289,46.05,45.85,0.63,2.84,15.04,16.06,21.69,22.48,28.34,28.89,24.21,24.47,11.85,10.58,24.49,19.00,15.85,14.69,18.27,18.21,21.57,24.17,22.22,22.64,24.86,27.24,24.63,23.02,24.20,23.68,25.63,26.00,27.50,26.57,28.18,27.88,29.37,28.68,29.76,28.82,31.19,29.67,32.06,32.41,33.39,32.72,39.64,40.71,37.10,37.32,34.83,33.47,34.88,33.54,34.30,33.19,33.66,32.15,32.67,31.46,31.53,30.03,29.69,29.14
9,290,46.00,46.42,-2.58,-0.26,14.87,16.02,21.32,22.27,27.77,28.52,23.16,23.71,17.09,19.10,27.13,23.64,21.23,21.32,18.54,18.52,21.72,23.49,24.01,24.41,25.40,27.71,29.27,29.20,25.87,27.37,27.55,28.27,32.08,33.02,29.17,29.49,28.69,29.03,30.31,30.32,32.41,34.52,36.13,40.19,34.97,35.63,36.21,35.77,34.89,34.15,34.74,33.33,34.73,33.73,34.82,33.19,33.86,32.43,32.65,31.45,31.59,30.07,29.39,28.70
10,291,47.20,47.50,0.35,2.21,12.52,13.24,19.17,19.69,25.81,26.14,21.86,22.03,14.84,14.24,25.36,21.45,18.32,17.64,19.51,19.99,20.48,24.30,22.68,23.36,23.80,26.60,26.84,25.77,27.92,29.03,28.79,29.77,30.84,31.77,30.87,30.71,32.84,34.15,33.29,34.35,33.03,33.82,32.60,34.19,36.30,37.79,40.71,41.09,38.54,39.65,35.60,33.51,34.74,33.69,34.60,33.34,33.69,32.46,32.78,31.21,31.41,30.19,29.65,28.73
11,292,55.22,55.86,-5.66,-2.97,13.07,14.64,19.64,21.01,26.21,27.38,22.09,22.80,13.73,13.91,25.65,20.97,16.57,15.94,17.76,19.92,21.71,25.04,24.43,24.58,24.61,26.43,24.86,23.10,23.76,23.85,28.23,29.50,29.69,29.95,33.54,34.17,32.46,33.56,32.70,34.45,31.53,32.25,32.56,33.38,36.89,38.45,53.69,54.48,46.30,47.22,40.77,38.49,41.24,40.58,37.35,36.46,33.96,32.93,32.90,31.32,31.33,30.29,29.43,29.04
12,293,55.30,56.45,-1.12,0.16,15.39,17.11,21.91,23.39,28.42,29.68,23.77,24.78,10.01,15.08,23.84,21.50,16.80,16.89,16.36,18.91,20.76,24.38,24.10,24.65,25.69,28.18,24.47,24.00,26.08,26.68,26.75,28.67,31.40,31.61,33.52,34.02,30.73,31.66,32.39,33.24,31.92,31.97,32.58,34.57,35.09,36.32,52.90,54.49,49.38,50.35,42.18,39.88,40.67,40.25,37.67,36.96,34.02,32.64,32.68,31.46,31.40,30.14,29.30,28.67
13,294,45.62,45.07,0.12,1.35,14.59,15.29,21.32,21.91,28.04,28.53,23.77,24.08,12.83,13.26,24.64,21.49,15.31,15.72,18.61,19.43,20.08,24.60,24.00,23.47,23.76,25.45,24.79,22.67,23.84,23.40,24.01,24.56,26.52,25.29,27.90,27.04,29.06,27.49,29.89,27.96,30.89,29.95,31.86,31.14,32.51,32.31,38.22,39.00,36.66,36.41,34.99,33.32,34.92,33.55,34.35,33.04,33.75,32.18,32.84,31.46,31.54,30.19,29.63,28.97
14,295,45.56,45.24,-1.39,0.27,13.02,14.12,19.69,20.76,26.36,27.40,22.13,23.14,13.09,15.22,26.36,21.67,19.30,18.75,18.90,20.68,23.18,25.45,24.76,23.50,25.92,27.57,27.26,27.37,26.64,25.48,26.88,27.34,32.03,31.97,29.30,28.04,29.11,27.76,30.60,29.37,32.48,33.05,34.09,37.06,34.00,34.16,35.36,34.92,34.86,33.74,34.72,33.25,34.77,33.37,34.21,33.03,33.60,32.46,32.81,31.39,31.61,30.21,29.45,29.17
15,296,46.51,46.40,-1.31,1.11,12.68,14.23,18.93,20.12,25.18,26.02,20.85,21.81,12.90,15.77,24.57,21.92,17.48,16.54,18.95,19.74,22.77,27.11,25.49,24.00,24.84,27.36,26.29,24.68,27.42,28.51,28.31,29.77,31.71,31.63,33.72,34.22,32.18,33.77,31.86,32.92,32.04,32.34,32.18,33.35,34.92,35.86,38.81,38.54,37.17,37.21,35.58,33.24,34.77,33.50,34.16,33.17,33.70,32.47,32.72,31.48,31.48,30.20,29.41,28.82
